iter	Passed	Remaining
0	30	8512
1	55	7681
2	77	7177
3	98	6816
4	117	6483
5	212	9704
6	290	11320
7	375	12783
8	429	12940
9	517	13979
10	581	14222
11	644	14396
12	730	14999
13	779	14813
14	834	14735
15	884	14597
16	944	14617
17	997	14519
18	1042	14324
19	1120	14571
20	1160	14311
21	1181	13854
22	1203	13443
23	1223	13050
24	1241	12665
25	1259	12308
26	1275	11951
27	1293	11637
28	1311	11348
29	1328	11067
30	1345	10804
31	1361	10549
32	1376	10305
33	1392	10074
34	1409	9868
35	1427	9674
36	1445	9494
37	1462	9315
38	1478	9139
39	1496	8977
40	1513	8823
41	1529	8667
42	1546	8526
43	1564	8388
44	1580	8252
45	1596	8119
46	1613	7997
47	1630	7880
48	1647	7764
49	1664	7656
50	1682	7555
51	1701	7459
52	1718	7359
53	1735	7264
54	1753	7175
55	1771	7087
56	1789	6999
57	1804	6907
58	1822	6826
59	1839	6745
60	1856	6663
61	1873	6586
62	1890	6510
63	1907	6437
64	1923	6363
65	1939	6288
66	1956	6219
67	1973	6152
68	1990	6088
69	2008	6024
70	2024	5958
71	2041	5896
72	2058	5837
73	2075	5778
74	2091	5716
75	2108	5660
76	2124	5601
77	2141	5546
78	2157	5488
79	2173	5433
80	2189	5380
81	2205	5326
82	2222	5275
83	2239	5224
84	2256	5177
85	2274	5131
86	2291	5084
87	2310	5041
88	2330	5000
89	2347	4955
90	2366	4915
91	2385	4874
92	2402	4830
93	2418	4786
94	2436	4745
95	2454	4704
96	2471	4662
97	2487	4618
98	2503	4577
99	2520	4537
100	2539	4500
101	2555	4458
102	2572	4420
103	2589	4382
104	2607	4345
105	2623	4306
106	2639	4266
107	2656	4230
108	2672	4192
109	2688	4155
110	2706	4121
111	2724	4086
112	2739	4049
113	2757	4014
114	2775	3981
115	2792	3948
116	2809	3913
117	2825	3878
118	2843	3846
119	2860	3814
120	2877	3780
121	2893	3747
122	2911	3715
123	2927	3682
124	2942	3648
125	2959	3617
126	2978	3588
127	2995	3557
128	3012	3526
129	3028	3494
130	3045	3464
131	3063	3434
132	3079	3403
133	3096	3373
134	3113	3344
135	3131	3315
136	3149	3287
137	3165	3257
138	3182	3228
139	3200	3200
140	3217	3171
141	3232	3141
142	3249	3113
143	3266	3084
144	3281	3055
145	3299	3028
146	3316	3000
147	3332	2972
148	3349	2944
149	3364	2916
150	3381	2888
151	3398	2862
152	3418	2837
153	3436	2811
154	3454	2785
155	3472	2760
156	3493	2736
157	3510	2710
158	3526	2683
159	3543	2657
160	3561	2632
161	3578	2606
162	3594	2580
163	3611	2554
164	3630	2530
165	3646	2504
166	3663	2478
167	3680	2453
168	3697	2428
169	3714	2403
170	3731	2378
171	3748	2353
172	3765	2328
173	3781	2303
174	3798	2279
175	3815	2254
176	3832	2230
177	3848	2205
178	3865	2181
179	3880	2156
180	3896	2131
181	3912	2106
182	3929	2082
183	3945	2058
184	3962	2034
185	3979	2011
186	3995	1987
187	4012	1963
188	4029	1939
189	4046	1916
190	4064	1893
191	4080	1870
192	4096	1846
193	4113	1823
194	4130	1800
195	4147	1777
196	4163	1753
197	4179	1731
198	4196	1708
199	4213	1685
200	4230	1662
201	4248	1640
202	4264	1617
203	4280	1594
204	4297	1572
205	4314	1549
206	4330	1527
207	4347	1504
208	4363	1482
209	4380	1460
210	4396	1437
211	4414	1415
212	4430	1393
213	4446	1371
214	4462	1349
215	4479	1327
216	4498	1305
217	4514	1283
218	4532	1262
219	4551	1241
220	4568	1219
221	4587	1198
222	4607	1177
223	4624	1156
224	4640	1134
225	4657	1112
226	4674	1091
227	4690	1069
228	4706	1048
229	4722	1026
230	4739	1005
231	4756	984
232	4773	962
233	4790	941
234	4806	920
235	4823	899
236	4841	878
237	4857	857
238	4874	836
239	4891	815
240	4908	794
241	4925	773
242	4943	752
243	4960	731
244	4977	711
245	4992	690
246	5009	669
247	5026	648
248	5042	627
249	5058	607
250	5075	586
251	5090	565
252	5107	545
253	5123	524
254	5140	503
255	5156	483
256	5173	463
257	5189	442
258	5205	422
259	5221	401
260	5238	381
261	5254	360
262	5270	340
263	5287	320
264	5304	300
265	5319	279
266	5336	259
267	5353	239
268	5369	219
269	5385	199
270	5402	179
271	5418	159
272	5435	139
273	5451	119
274	5467	99
275	5484	79
276	5502	59
277	5521	39
278	5539	19
279	5556	0
